Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Unit_Price_NGN,Discount_Pct,Discount_Amount_NGN,Revenue_NGN,Cost_NGN,Profit_NGN,Profit_Margin_Pct,Sales_Channel,Region,Payment_Method,Order_Status
ORD-00164,2025-01-01,CUST-0575,Power Bank,Electronics,3,29601.92,5,4440.29,84365.47,62045.49,-8487.08,-10.06,Website,Lagos,Card,Returned
ORD-01300,2025-01-01,CUST-0191,Water Bottle,Home & Office,2,18881.54,10,3776.31,33986.77,21905.9,-3945.91,-11.61,WhatsApp,Enugu,USSD,Returned
ORD-00523,2025-01-01,CUST-0550,Smart Watch,Electronics,1,77326.88,0,0.0,77326.88,55993.07,-6654.18,-8.61,WhatsApp,Enugu,Transfer,Returned
ORD-02295,2025-01-01,CUST-0655,Wireless Earbuds,Electronics,1,42946.12,10,4294.61,38651.51,24245.62,14405.89,37.27,Website,Abuja,Cash,Completed
ORD-00504,2025-01-01,CUST-0221,Laptop Backpack,Accessories,1,35371.8,0,0.0,35371.8,26090.9,9280.9,26.24,WhatsApp,Benin,Cash,Completed
ORD-00283,2025-01-01,CUST-0676,Running Shoes,Fashion,1,69723.41,10,6972.34,62751.07,49061.09,13689.98,21.82,WhatsApp,Abuja,Cash,Completed
ORD-02165,2025-01-02,CUST-0279,Office Chair,Home & Office,4,108890.76,0,0.0,0.0,276759.08,0.0,0.0,Website,Abuja,USSD,Cancelled
ORD-02255,2025-01-02,CUST-0543,Smart Watch,Electronics,1,75803.27,0,0.0,0.0,58504.35,0.0,0.0,Instagram,Abuja,Cash,Cancelled
ORD-00992,2025-01-03,CUST-0389,Water Bottle,Home & Office,1,17876.11,15,2681.42,15194.69,9827.85,5366.84,35.32,WhatsApp,Abuja,Cash,Completed
ORD-01590,2025-01-03,CUST-0497,Power Bank,Electronics,1,29804.99,0,0.0,29804.99,20927.33,8877.66,29.79,WhatsApp,Enugu,Cash,Completed
ORD-00121,2025-01-03,CUST-0585,Perfume,Beauty,1,37450.38,0,0.0,37450.38,23534.52,13915.86,37.16,Website,Lagos,USSD,Completed
ORD-01778,2025-01-04,CUST-0262,Sneakers,Fashion,2,76056.51,0,0.0,152113.02,119752.8,32360.22,21.27,Walk-in,Benin,Cash,Completed
ORD-01400,2025-01-04,CUST-0684,Wireless Earbuds,Electronics,1,44676.76,0,0.0,0.0,31309.65,0.0,0.0,Walk-in,Benin,Transfer,Cancelled
ORD-02774,2025-01-04,CUST-0094,Office Chair,Home & Office,1,116167.72,5,5808.39,110359.33,76200.98,34158.35,30.95,Website,Ibadan,USSD,Completed
ORD-02284,2025-01-04,CUST-0530,Water Bottle,Home & Office,1,18579.86,0,0.0,18579.86,12720.92,5858.94,31.53,Referral,Lagos,Card,Completed
ORD-00773,2025-01-04,CUST-0213,Desk Lamp,Home & Office,1,28772.77,10,2877.28,25895.49,20540.42,5355.07,20.68,Referral,Owerri,USSD,Completed
ORD-01861,2025-01-04,CUST-0337,Sneakers,Fashion,2,75304.23,15,22591.27,128017.19,83651.48,-14314.72,-11.18,WhatsApp,Lagos,Transfer,Returned
ORD-02428,2025-01-05,CUST-0355,Perfume,Beauty,3,39755.72,0,0.0,0.0,93948.18,0.0,0.0,Referral,Lagos,Transfer,Cancelled
ORD-02812,2025-01-05,CUST-0197,Desk Lamp,Home & Office,2,29362.84,20,11745.14,46980.54,29365.23,17615.31,37.49,Referral,Port Harcourt,Cash,Completed
ORD-02610,2025-01-06,CUST-0313,Hoodie,Fashion,1,41850.12,0,0.0,41850.12,27174.11,14676.01,35.07,WhatsApp,Ibadan,Card,Completed
ORD-01520,2025-01-06,CUST-0392,Desk Lamp,Home & Office,1,29954.25,0,0.0,29954.25,22403.75,7550.5,25.21,Website,Enugu,Card,Completed
ORD-00435,2025-01-06,CUST-0006,Office Chair,Home & Office,2,116848.63,0,0.0,233697.26,159309.94,74387.32,31.83,WhatsApp,Benin,Cash,Completed
ORD-01787,2025-01-07,CUST-0498,Hoodie,Fashion,2,42957.29,0,0.0,0.0,54533.59,0.0,0.0,Referral,Abuja,Transfer,Cancelled
ORD-02047,2025-01-07,CUST-0219,Wireless Earbuds,Electronics,3,40736.99,5,6110.55,116100.42,86753.4,-9863.0,-8.5,Instagram,Ibadan,Cash,Returned
ORD-00131,2025-01-07,CUST-0672,Running Shoes,Fashion,2,69697.65,0,0.0,139395.3,109448.08,29947.22,21.48,WhatsApp,Ibadan,Transfer,Completed
ORD-02641,2025-01-07,CUST-0374,Wireless Earbuds,Electronics,3,43403.1,0,0.0,130209.3,83491.21,46718.09,35.88,Walk-in,Port Harcourt,Card,Completed
ORD-02931,2025-01-07,CUST-0032,Water Bottle,Home & Office,2,17917.07,0,0.0,35834.14,24625.27,11208.87,31.28,Referral,Abuja,Cash,Completed
ORD-01074,2025-01-08,CUST-0357,Wireless Earbuds,Electronics,1,42316.5,0,0.0,42316.5,34461.92,7854.58,18.56,Instagram,Lagos,USSD,Completed
ORD-00892,2025-01-08,CUST-0095,Laptop Backpack,Accessories,1,34861.75,10,3486.18,0.0,21320.79,0.0,0.0,Website,Enugu,Transfer,Cancelled
ORD-02384,2025-01-08,CUST-0018,Water Bottle,Home & Office,1,17738.26,15,2660.74,15077.52,9388.96,-1169.21,-7.75,WhatsApp,Ibadan,Transfer,Returned
ORD-01492,2025-01-08,CUST-0158,Water Bottle,Home & Office,1,18217.34,0,0.0,18217.34,12014.64,6202.7,34.05,Instagram,Ibadan,Cash,Completed
ORD-01239,2025-01-08,CUST-0031,Running Shoes,Fashion,2,70872.82,0,0.0,141745.64,112687.49,-7949.1,-5.61,WhatsApp,Benin,Card,Returned
ORD-00147,2025-01-09,CUST-0318,Hoodie,Fashion,1,43615.97,0,0.0,43615.97,35199.85,8416.12,19.3,Referral,Enugu,Cash,Completed
ORD-01091,2025-01-09,CUST-0331,Skincare Set,Beauty,3,52353.28,5,7852.99,149206.85,112115.97,37090.88,24.86,WhatsApp,Benin,USSD,Completed
ORD-02685,2025-01-09,CUST-0424,Perfume,Beauty,3,37115.11,0,0.0,111345.33,78411.28,32934.05,29.58,WhatsApp,Owerri,Transfer,Completed
ORD-01479,2025-01-10,CUST-0554,Office Chair,Home & Office,2,109677.3,0,0.0,219354.6,148178.97,71175.63,32.45,Referral,Abuja,Cash,Completed
ORD-00175,2025-01-10,CUST-0293,Perfume,Beauty,1,40738.78,15,6110.82,34627.96,23916.99,10710.97,30.93,Referral,Abuja,USSD,Completed
ORD-01679,2025-01-10,CUST-0615,Desk Lamp,Home & Office,3,30315.19,5,4547.28,86398.29,66142.31,20255.98,23.44,Website,Port Harcourt,Transfer,Completed
ORD-02246,2025-01-10,CUST-0035,Sneakers,Fashion,2,76217.41,5,7621.74,144813.08,101646.0,-7114.95,-4.91,Instagram,Lagos,Cash,Returned
ORD-02075,2025-01-10,CUST-0107,Power Bank,Electronics,1,28073.84,15,4211.08,23862.76,17451.64,-2286.05,-9.58,Referral,Ibadan,USSD,Returned
ORD-01995,2025-01-11,CUST-0506,Water Bottle,Home & Office,1,18776.71,15,2816.51,15960.2,11903.3,4056.9,25.42,Instagram,Ibadan,USSD,Completed
ORD-00942,2025-01-11,CUST-0228,Running Shoes,Fashion,1,69986.38,20,13997.28,55989.1,37476.28,18512.82,33.07,WhatsApp,Owerri,Cash,Completed
ORD-02182,2025-01-11,CUST-0191,Desk Lamp,Home & Office,1,30267.71,0,0.0,30267.71,18772.03,-3146.31,-10.39,Instagram,Lagos,Transfer,Returned
ORD-01551,2025-01-11,CUST-0008,Office Chair,Home & Office,1,114319.64,0,0.0,114319.64,74066.28,-15260.24,-13.35,Walk-in,Abuja,Transfer,Returned
ORD-02173,2025-01-12,CUST-0054,Water Bottle,Home & Office,1,19442.42,0,0.0,19442.42,13974.39,5468.03,28.12,Instagram,Owerri,Transfer,Completed
ORD-02013,2025-01-12,CUST-0392,Perfume,Beauty,1,36329.65,0,0.0,36329.65,29302.03,7027.62,19.34,Instagram,Ibadan,Card,Completed
